RECEPTOR,odorant,SMILES,output,Protein sequence
AgOr6,nonanoic-acid,,3,
AgOr8,nonanoic-acid,,-2,
AgOr9,nonanoic-acid,,-7,
AgOr10,nonanoic-acid,,1,
AgOr11,nonanoic-acid,,10,
AgOr12,nonanoic-acid,,-2,
AgOr13,nonanoic-acid,,-1,
AgOr15,nonanoic-acid,,-1,
AgOr16,nonanoic-acid,,0,
AgOr18,nonanoic-acid,,0,
AgOr20,nonanoic-acid,,-5,
AgOr21,nonanoic-acid,,4,
AgOr23,nonanoic-acid,,-1,
AgOr25,nonanoic-acid,,-1,
AgOr26,nonanoic-acid,,0,
AgOr27,nonanoic-acid,,0,
AgOr30,nonanoic-acid,,5,
AgOr31,nonanoic-acid,,2,
AgOr32,nonanoic-acid,,0,
AgOr33,nonanoic-acid,,-5,
AgOr35,nonanoic-acid,,-3,
AgOr38,nonanoic-acid,,-2,
AgOr39,nonanoic-acid,,4,
AgOr41,nonanoic-acid,,-2,
AgOr42,nonanoic-acid,,-1,
AgOr43,nonanoic-acid,,-8,
AgOr44,nonanoic-acid,,-2,
AgOr45,nonanoic-acid,,0,
AgOr46,nonanoic-acid,,-1,
AgOr48,nonanoic-acid,,0,
AgOr50,nonanoic-acid,,3,
AgOr53,nonanoic-acid,,1,
AgOr54,nonanoic-acid,,-11,
AgOr56,nonanoic-acid,,-2,
AgOr57,nonanoic-acid,,0,
AgOr59,nonanoic-acid,,-2,
AgOr61,nonanoic-acid,,1,
AgOr63,nonanoic-acid,,0,
AgOr64,nonanoic-acid,,-2,
AgOr65,nonanoic-acid,,1,
AgOr66,nonanoic-acid,,1,
AgOr67,nonanoic-acid,,-2,
AgOr73,nonanoic-acid,,2,
AgOr75,nonanoic-acid,,-4,
AgOr76,nonanoic-acid,,2,
AgOr1,decanoic-acid,,0,
AgOr2,decanoic-acid,,9,
AgOr3,decanoic-acid,,3,
AgOr4,decanoic-acid,,2,
AgOr5,decanoic-acid,,0,
AgOr6,decanoic-acid,,1,
AgOr8,decanoic-acid,,1,
AgOr9,decanoic-acid,,-2,
AgOr10,decanoic-acid,,-2,
AgOr11,decanoic-acid,,-1,
AgOr12,decanoic-acid,,0,
AgOr13,decanoic-acid,,1,
